DATE,ASPTFCM,ASPTFFHAI,ASPTFVAG,ASPTFC,ASPUS
1998-10-01,195800,115800,121300,182300,181500
1999-01-01,205900,119100,126700,188300,189100
1999-04-01,209900,120200,126300,186200,191800
1999-07-01,206600,118100,134500,209900,193000
1999-10-01,221500,118700,137400,214000,204800
2000-01-01,218600,121000,141700,222600,202900
2000-04-01,220500,120600,136300,199400,202400
2000-07-01,222100,123300,142500,210900,204100
2000-10-01,230400,121100,134200,215000,212100
2001-01-01,231000,128300,137100,210600,211000
2001-04-01,228400,128900,136600,213600,211200
2001-07-01,225400,124700,139100,206600,207800
2001-10-01,235800,125000,149100,218100,214200
2002-01-01,247500,132800,146500,217100,227600
2002-04-01,246900,133800,152300,222400,227600
2002-07-01,234100,133100,138100,242900,219100
2002-10-01,250900,129400,148400,240200,232500
2003-01-01,252000,134600,148400,228500,233100
2003-04-01,255800,133000,165100,235800,241000
2003-07-01,264600,129900,148100,297300,248100
2003-10-01,276700,130300,153400,273700,256000
2004-01-01,282700,134500,158400,235800,262900
2004-04-01,282500,131500,167400,253500,265300
2004-07-01,288200,132700,156700,246100,274000
2004-10-01,304500,137600,141800,234000,286300
2005-01-01,298400,138700,165500,286300,288500
2005-04-01,300700,137100,161000,250800,287800
2005-07-01,307700,133200,184000,284500,294600
2005-10-01,304500,148300,196700,290500,294200
2006-01-01,317500,153400,185300,344000,305300
2006-04-01,313800,144600,193300,309400,302600
2006-07-01,315500,184100,191900,283700,308100
2006-10-01,314000,163400,205200,261800,299600
2007-01-01,332000,165000,178000,257200,322100
2007-04-01,315600,155900,214700,372800,310100
2007-07-01,303200,164100,199900,402700,301200
2007-10-01,312000,163200,208100,317400,305800
2008-01-01,310800,194500,202300,320900,290400
2008-04-01,326000,208400,207700,344300,304200
2008-07-01,303000,205500,205400,310000,285100
2008-10-01,302000,200900,213500,275400,276600
2009-01-01,290200,192800,217800,296500,257000
2009-04-01,302900,207600,227900,342300,273400
2009-07-01,301000,202000,223800,318100,274100
2009-10-01,297000,195300,229000,339900,272900
2010-01-01,311900,205900,233800,309500,275300
2010-04-01,299500,207100,228300,296600,268800
2010-07-01,302600,208500,225900,282000,266000
2010-10-01,305500,210000,225600,347400,278000
2011-01-01,292800,208400,233400,242800,268100
2011-04-01,284500,215600,242300,292200,267600
2011-07-01,276300,208400,235500,304700,263000
2011-10-01,280700,212400,220700,263500,259700
2012-01-01,303400,220600,237700,298900,278000
2012-04-01,314000,214000,229000,292200,282700
2012-07-01,327200,218600,247600,307000,294500
2012-10-01,322500,224100,289300,319900,297700
2013-01-01,340400,231700,271500,282400,307400
2013-04-01,344500,221800,297300,355700,320400
2013-07-01,349600,220400,263200,402900,324400
2013-10-01,346300,237800,251900,391200,334400
2014-01-01,352100,230300,273500,404300,331400
2014-04-01,361200,226700,290500,380800,340600
2014-07-01,359600,231400,266000,376400,340400
2014-10-01,377900,228600,294400,422900,369400
2015-01-01,368000,241200,290600,409500,348000
2015-04-01,367000,242800,279900,346800,339700
2015-07-01,377000,250800,280400,408300,347400
2015-10-01,392000,240900,312900,412800,366700
2016-01-01,391800,240700,294000,410400,357000
2016-04-01,393500,237500,311100,404700,357900
2016-07-01,385100,231000,318000,381100,358800
2016-10-01,395200,236800,286100,409700,364900
2017-01-01,403000,236500,305500,465300,374800
2017-04-01,402700,256300,305300,413600,376900
2017-07-01,405900,255400,314800,388900,373200.0
2017-10-01,428500,267000,341700,402300,399700.0
2018-01-01,409100,266800,310900,415000,374600.0
2018-04-01,415200,253900,334000,398700,378400.0
2018-07-01,420900,267700,314400,447000,392900.0
2018-10-01,408700,259700,312200,369100,384000.0
2019-01-01,405300,266200,346400,363200,375500.0
2019-04-01,406800,259400,360900,393400,376700.0
2019-07-01,411200,248400,345300,445700,382700.0
2019-10-01,418300,256200,385000,387600,384600.0
2020-01-01,411900,254200,345400,364600,383000.0
2020-04-01,391600,266300,368700,503000,374500.0
2020-07-01,423700,270200,383300,465900,397800.0
2020-10-01,435900,280600,405700,426400,403900.0
2021-01-01,452200,285500,437600,470000,418600.0
2021-04-01,465300,317400,424400,438200,440600.0
2021-07-01,487200,305600,467100,535700,473000.0
2021-10-01,529400,339300,450100,453700,497300.0
2022-01-01,535200,382500,429800,523400,507800.0
